rank	title	link	year	genre	description
76	The Lord of the Rings: The Return of the King	https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt	2003	Action, Adventure, Drama	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
77	Back to the Future	https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt	1985	Adventure, Comedy, Sci-Fi	Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.
78	Requiem for a Dream	https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt	2000	Drama	The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
79	Mad Max: Fury Road	https://www.imdb.com/title/tt1392190/?ref_=adv_li_tt	2015	Action, Adventure, Sci-Fi	In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.
80	Zodiac	https://www.imdb.com/title/tt0443706/?ref_=adv_li_tt	2007	Crime, Drama, Mystery	Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.
81	Watchmen	https://www.imdb.com/title/tt0409459/?ref_=adv_li_tt	2009	Action, Drama, Mystery	In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.
82	Harry Potter and the Goblet of Fire	https://www.imdb.com/title/tt0330373/?ref_=adv_li_tt	2005	Adventure, Family, Fantasy	Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.
83	Django Unchained	https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt	2012	Drama, Western	With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.
84	Mission: Impossible - Fallout	https://www.imdb.com/title/tt4912910/?ref_=adv_li_tt	2018	Action, Adventure, Thriller	Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.
85	Good Will Hunting	https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt	1997	Drama, Romance	Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.
86	Léon: The Professional	https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt	1994	Action, Crime, Drama	12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.
87	The Green Mile	https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt	1999	Crime, Drama, Fantasy	A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.
88	Saving Private Ryan	https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt	1998	Drama, War	Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
89	Young Frankenstein	https://www.imdb.com/title/tt0072431/?ref_=adv_li_tt	1974	Comedy	An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.
90	The Handmaiden	https://www.imdb.com/title/tt4016934/?ref_=adv_li_tt	2016	Drama, Romance, Thriller	A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.
91	A Beautiful Mind	https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt	2001	Biography, Drama	After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.
92	Willy Wonka & the Chocolate Factory	https://www.imdb.com/title/tt0067992/?ref_=adv_li_tt	1971	Family, Fantasy, Musical	A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
93	Oldboy	https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt	2003	Action, Drama, Mystery	After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.
94	Scarface	https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt	1983	Crime, Drama	In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.
95	Wind River	https://www.imdb.com/title/tt5362988/?ref_=adv_li_tt	2017	Crime, Drama, Mystery	A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.
96	E.T. the Extra-Terrestrial	https://www.imdb.com/title/tt0083866/?ref_=adv_li_tt	1982	Adventure, Family, Sci-Fi	A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
97	Jaws	https://www.imdb.com/title/tt0073195/?ref_=adv_li_tt	1975	Adventure, Mystery, Thriller	When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.
98	Star Wars: Episode IV - A New Hope	https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt	1977	Action, Adventure, Fantasy	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.
99	Pirates of the Caribbean: The Curse of the Black Pearl	https://www.imdb.com/title/tt0325980/?ref_=adv_li_tt	2003	Action, Adventure, Fantasy	Blacksmith Will Turner teams up with eccentric pirate "Captain" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.
100	The Lion King	https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt	1994	Animation, Adventure, Drama	Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.
101	Aliens	https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt	1986	Action, Adventure, Sci-Fi	Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.
102	Blade Runner	https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt	1982	Action, Drama, Sci-Fi	A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
103	Spider-Man: Into the Spider-Verse	https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt	2018	Animation, Action, Adventure	Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
104	Once Upon a Time in America	https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt	1984	Crime, Drama	A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.
105	The Sixth Sense	https://www.imdb.com/title/tt0167404/?ref_=adv_li_tt	1999	Drama, Mystery, Thriller	Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.
106	Sin City	https://www.imdb.com/title/tt0401792/?ref_=adv_li_tt	2005	Crime, Thriller	An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.
107	The Others	https://www.imdb.com/title/tt0230600/?ref_=adv_li_tt	2001	Horror, Mystery, Thriller	In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.
108	The Big Lebowski	https://www.imdb.com/title/tt0118715/?ref_=adv_li_tt	1998	Comedy, Crime	Jeff "The Dude" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.
109	Drive	https://www.imdb.com/title/tt0780504/?ref_=adv_li_tt	I 2011	Action, Drama	A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
110	The Banshees of Inisherin	https://www.imdb.com/title/tt11813216/?ref_=adv_li_tt	2022	Comedy, Drama	Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.
